y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
Serpent;-0.66191;2270.75098;1000.87802;66.52127;0.00000;KTH Biblioteket;-1.10984;1.61928;5478.63564;-89187.77811;TRUE;TRUE;1.32381
Serpent;-0.46363;2570.09941;1000.56718;46.40674;0.00001;KTH Biblioteket;-2.79946;-1.40210;5478.64992;-89187.53034;TRUE;TRUE;0.92726
Serpent;1.65444;2482.92661;1000.64605;-165.08326;0.00000;KTH Biblioteket;1.17866;-2.56017;5474.76181;-89184.85985;TRUE;TRUE;-3.30887
Serpent;2.88842;78.25172;1000.63384;-288.42174;0.00000;N/A;1.46590;-3.92437;5474.85359;-89185.36191;TRUE;FALSE;-5.77683
Serpent;0.34215;1006.63281;1000.52118;-34.16561;0.00000;Brinnelvägen 8;0.27274;0.76977;5473.23843;-89186.83124;TRUE;FALSE;-0.68431
Serpent;0.91985;956.21527;1000.38728;-91.88035;0.00000;Entrée;0.67438;-1.68244;5474.44071;-89185.25056;TRUE;FALSE;-1.83970
Serpent;0.31128;1882.26965;1000.83841;-30.73821;0.00000;KTH Biblioteket;1.32313;-0.21069;5475.04054;-89183.90953;TRUE;FALSE;-0.62256
Serpent;0.45906;1035.25422;1000.37976;-45.74267;0.00000;Brinnelvägen 8;1.09908;-0.63190;5475.13800;-89183.73336;TRUE;FALSE;-0.91812
Serpent;0.40485;1633.73737;1000.55008;-40.27467;0.00000;Östra stationen;0.54219;0.48230;5476.51112;-89186.88836;TRUE;FALSE;-0.80970
Serpent;2.37795;-529.92775;1000.67869;-237.62065;-0.00000;Slussen;3.38002;-2.44076;5475.96580;-89183.74129;TRUE;FALSE;-4.75591
Serpent;0.45178;577.42314;1000.40084;-45.11609;0.00000;Slussen;-1.23625;-3.96438;5475.06847;-89184.17532;TRUE;FALSE;-0.90356
Serpent;0.19141;1355.63041;1000.77904;-18.88395;0.00000;Lindstedsvägen 24;-0.17752;2.11868;5475.84196;-89181.76857;TRUE;FALSE;-0.38282
Serpent;1.34815;-104.93832;1000.74941;-134.55537;-0.00000;N/A;-0.21706;-2.35712;5474.43222;-89184.80489;TRUE;FALSE;-2.69630
Serpent;2.48940;-268.70890;1000.49841;-248.74979;-0.00000;Slussen;4.43515;-0.29492;5478.54180;-89187.32632;TRUE;FALSE;-4.97880
Serpent;2.26149;-769.71629;1000.34578;-226.04291;-0.00000;Entrée;0.64020;-3.10454;5474.00915;-89184.90001;TRUE;FALSE;-4.52299
Serpent;1.72069;155.46548;1000.39130;-172.01498;0.00000;N/A;2.17495;-0.83597;5474.58711;-89184.02040;TRUE;FALSE;-3.44138
Serpent;3.70440;-77.60819;1000.68615;-370.28957;-0.00000;Slussen;3.11063;-4.52157;5474.16600;-89186.63827;TRUE;FALSE;-7.40880
Serpent;1.71965;-718.12954;1000.39583;-171.83826;-0.00000;Entrée;5.91301;0.91113;5475.01745;-89184.60488;TRUE;FALSE;-3.43930
Serpent;0.62373;429.53457;1000.70930;-62.17759;0.00000;Slussen;-0.08111;-2.73948;5475.22346;-89184.34511;TRUE;FALSE;-1.24746
